t=06400 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.96
t=06450 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.96
t=06500 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.95
t=06550 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.95
t=06600 | eps=0.050 | r=0.475 | r_ma=0.471 | H=0.95
t=06650 | eps=0.050 | r=0.256 | r_ma=0.472 | H=0.94
t=06700 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.94
t=06750 | eps=0.050 | r=0.475 | r_ma=0.468 | H=0.94
t=06800 | eps=0.050 | r=0.475 | r_ma=0.468 | H=0.94
t=06850 | eps=0.050 | r=0.475 | r_ma=0.467 | H=0.93
t=06900 | eps=0.050 | r=0.475 | r_ma=0.468 | H=0.93
t=06950 | eps=0.050 | r=0.475 | r_ma=0.466 | H=0.93
t=07000 | eps=0.050 | r=0.475 | r_ma=0.467 | H=0.93
t=07050 | eps=0.050 | r=0.475 | r_ma=0.467 | H=0.93
t=07100 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.92
t=07150 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.92
t=07200 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.92
t=07250 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.91
t=07300 | eps=0.050 | r=0.475 | r_ma=0.468 | H=0.91
t=07350 | eps=0.050 | r=0.475 | r_ma=0.471 | H=0.91
t=07400 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.91
t=07450 | eps=0.050 | r=0.475 | r_ma=0.471 | H=0.90
t=07500 | eps=0.050 | r=0.475 | r_ma=0.471 | H=0.90
t=07550 | eps=0.050 | r=0.475 | r_ma=0.471 | H=0.90
t=07600 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.90
t=07650 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.89
t=07700 | eps=0.050 | r=0.475 | r_ma=0.472 | H=0.89
t=07750 | eps=0.050 | r=0.475 | r_ma=0.472 | H=0.89
t=07800 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.89
t=07850 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.88
t=07900 | eps=0.050 | r=0.475 | r_ma=0.467 | H=0.88
t=07950 | eps=0.050 | r=0.475 | r_ma=0.468 | H=0.88
